product_name,description,main_category,sub_category,target_group,product_type,features,tags,attributes,price
Powerbank 20000mAh,Telefon ve mobil cihazlar için hızlı şarj destekli taşınabilir güç kaynağı,Elektronik,Aksesuar,Unisex,Powerbank,"şarjlı,taşınabilir,hızlı şarj","telefon,şarj,powerbank,taşınabilir,batarya","{""kullanim"":[""telefon şarjı"",""mobil şarj""],""kapasite"":[""20000mAh""],""ozellik"":[""taşınabilir"",""hızlı şarj"",""yüksek kapasite""]}",999
Yoga Matı,Yoga ve pilates egzersizleri için kaymaz yüzeyli rahat spor matı,Spor,Egzersiz,Unisex,Yoga Matı,"kaymaz,spor,egzersiz","spor,yoga,pilates,mat,egzersiz","{""kullanim"":[""yoga"",""pilates"",""egzersiz""],""ortam"":[""ev"",""spor salonu""],""ozellik"":[""kaymaz"",""rahat"",""hafif""]}",549
Dambıl Seti 10 kg,Evde fitness ve güç antrenmanı yapmak için uygun dambıl seti,Spor,Fitness,Unisex,Dambıl,"fitness,güç,antrenman","spor,dambıl,fitness,ev,antrenman","{""kullanim"":[""fitness"",""güç antrenmanı""],""ortam"":[""ev"",""spor salonu""],""agirlik"":[""10 kg""],""ozellik"":[""dayanıklı"",""ev kullanımı""]}",899
Su Şişesi 750 ml,Spor ve günlük kullanım için sızdırmaz taşınabilir su matarası,Spor,Aksesuar,Unisex,Matara,"sızdırmaz,taşınabilir,günlük","spor,matara,su şişesi,günlük,taşınabilir","{""kullanim"":[""su taşıma"",""spor"",""günlük""],""kapasite"":[""750 ml""],""ozellik"":[""sızdırmaz"",""taşınabilir"",""hafif""]}",249
Kadın Yazlık Sneaker,Yaz aylarında günlük kullanım için hafif ve nefes alabilir kadın sneaker modeli.,Ayakkabı,Sneaker,Kadın,Sneaker,"hafif,rahat,nefes alabilir","kadın,yaz,günlük,sneaker","{""mevsim"":[""yaz""],""kullanim"":[""günlük""],""ozellik"":[""hafif"",""rahat taban"",""nefes alabilir""],""ortam"":[""şehir""]}",1399
Kadın Spor Sneaker,Spor ve fitness aktiviteleri için destekli hafif kadın spor sneaker.,Ayakkabı,Sneaker,Kadın,Sneaker,"destekli,spor,hafif","kadın,spor,sneaker,fitness,hafif","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""spor"",""günlük""],""ozellik"":[""destekli"",""hafif"",""spor""],""ortam"":[""spor salonu"",""şehir""]}",1599
Kadın Bağcıklı Sneaker,Trendy bağcıklı tasarımıyla günlük şehir kullanımı için kadın sneaker.,Ayakkabı,Sneaker,Kadın,Sneaker,"şık,bağcıklı,rahat","kadın,sneaker,şık,günlük,şehir","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""günlük""],""ozellik"":[""şık"",""bağcıklı"",""rahat""],""ortam"":[""şehir""]}",1299
Kadın Platform Sneaker,"Yüksek taban platform sneaker, günlük kombinlere stil katar.",Ayakkabı,Sneaker,Kadın,Sneaker,"platform,şık,rahat","kadın,platform,sneaker,şık,trend","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""günlük"",""özel gün""],""ozellik"":[""platform"",""şık"",""yüksek taban""],""ortam"":[""şehir""]}",1799
Kadın Slip-On Sneaker,Bağcıksız kolayca giyilebilen günlük kadın slip-on sneaker.,Ayakkabı,Sneaker,Kadın,Sneaker,"bağcıksız,kolay giyim,rahat","kadın,slip-on,sneaker,kolay,rahat","{""mevsim"":[""yaz""],""kullanim"":[""günlük""],""ozellik"":[""bağcıksız"",""kolay giyim"",""hafif""],""ortam"":[""şehir""]}",1199
Erkek Günlük Sneaker,Şehirde günlük kullanım için rahat tabanlı erkek sneaker modeli.,Ayakkabı,Sneaker,Erkek,Sneaker,"hafif,rahat,günlük","erkek,sneaker,günlük,şehir,rahat","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""günlük""],""ozellik"":[""hafif"",""rahat taban"",""günlük""],""ortam"":[""şehir""]}",1499
Erkek Spor Sneaker,Koşu ve spor aktiviteleri için yüksek performanslı erkek spor sneaker.,Ayakkabı,Sneaker,Erkek,Sneaker,"performanslı,spor,hafif","erkek,spor,sneaker,koşu,performans","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""spor"",""koşu""],""ozellik"":[""performanslı"",""hafif"",""destekli""],""ortam"":[""spor alanı""]}",1899
Erkek Retro Sneaker,Klasik retro tasarımıyla günlük kullanıma uygun erkek sneaker.,Ayakkabı,Sneaker,Erkek,Sneaker,"retro,şık,rahat","erkek,retro,sneaker,klasik,şık","{""mevsim"":[""dört mevsim""],""kullanim"":[""günlük""],""ozellik"":[""retro"",""şık"",""rahat""],""ortam"":[""şehir""]}",1699
Erkek Slip-On Sneaker,Pratik kullanım için bağcıksız erkek slip-on sneaker modeli.,Ayakkabı,Sneaker,Erkek,Sneaker,"bağcıksız,pratik,rahat","erkek,slip-on,sneaker,pratik,rahat","{""mevsim"":[""yaz""],""kullanim"":[""günlük""],""ozellik"":[""bağcıksız"",""pratik"",""hafif""],""ortam"":[""şehir""]}",1299
Kadın Kışlık Bot,Soğuk kış günlerinde sıcak tutan uzun konçlu kadın kışlık botu.,Ayakkabı,Bot,Kadın,Bot,"sıcak,kışlık,uzun konç","kadın,bot,kış,soğuk,sıcak","{""mevsim"":[""kış""],""kullanim"":[""günlük""],""ortam"":[""soğuk hava"",""kar""],""ozellik"":[""sıcak tutan"",""uzun konç"",""kışlık""]}",2299
Kadın Su Geçirmez Bot,Yağmurlu ve soğuk havalarda koruma sağlayan su geçirmez kadın botu.,Ayakkabı,Bot,Kadın,Bot,"su geçirmez,sağlam,kışlık","kadın,bot,yağmur,kış,su geçirmez","{""mevsim"":[""kış"",""sonbahar""],""kullanim"":[""günlük"",""outdoor""],""ortam"":[""yağmur"",""soğuk hava""],""ozellik"":[""su geçirmez"",""sağlam"",""kışlık""]}",2499
Kadın Chelsea Bot,Günlük ve ofis kullanımına uygun şık kadın chelsea botu.,Ayakkabı,Bot,Kadın,Bot,"şık,ofis,günlük","kadın,bot,chelsea,ofis,şık","{""mevsim"":[""sonbahar"",""kış""],""kullanim"":[""günlük"",""ofis""],""ortam"":[""şehir""],""ozellik"":[""şık"",""ofis uyumlu"",""rahat""]}",1999
Erkek Kışlık Bot,Kar ve soğuk hava koşullarına uygun uzun konçlu erkek kışlık botu.,Ayakkabı,Bot,Erkek,Bot,"sıcak,kar,kışlık","erkek,bot,kış,kar,soğuk","{""mevsim"":[""kış""],""kullanim"":[""günlük"",""outdoor""],""ortam"":[""kar"",""soğuk hava""],""ozellik"":[""sıcak tutan"",""su geçirmez"",""dayanıklı""]}",2899
Outdoor Trekking Bot,Sarp arazilerde güvenli yürüyüş için anti-slip tabanlı trekking botu.,Ayakkabı,Outdoor Ayakkabı,Unisex,Trekking Bot,"anti-slip,sağlam,su geçirmez","trekking,outdoor,dağ,yürüyüş,doğa","{""mevsim"":[""dört mevsim""],""kullanim"":[""trekking"",""outdoor""],""ortam"":[""dağ"",""doğa"",""yağmur""],""ozellik"":[""anti-slip"",""su geçirmez"",""sağlam""]}",3299
Hafif Yürüyüş Ayakkabısı,Uzun doğa yürüyüşleri için nefes alabilir hafif yürüyüş ayakkabısı.,Ayakkabı,Outdoor Ayakkabı,Unisex,Yürüyüş Ayakkabısı,"hafif,nefes alabilir,rahat","yürüyüş,outdoor,doğa,hafif,rahat","{""mevsim"":[""ilkbahar"",""yaz"",""sonbahar""],""kullanim"":[""yürüyüş"",""outdoor""],""ortam"":[""doğa"",""dış mekan""],""ozellik"":[""hafif"",""nefes alabilir"",""rahat""]}",1999
Sandalet Outdoor,Sıcak yaz aylarında outdoor aktiviteleri için dayanıklı spor sandalet.,Ayakkabı,Sandalet,Unisex,Sandalet,"hafif,açık burun,rahat","yaz,sandalet,outdoor,spor,hafif","{""mevsim"":[""yaz""],""kullanim"":[""outdoor"",""günlük""],""ortam"":[""plaj"",""doğa""],""ozellik"":[""hafif"",""açık burun"",""rahat""]}",999
Erkek Klasik Deri Ayakkabı,Ofis ve özel günler için şık hakiki deri erkek klasik ayakkabı.,Ayakkabı,Klasik Ayakkabı,Erkek,Klasik Ayakkabı,"deri,şık,ofis","erkek,deri,klasik,ofis,şık","{""mevsim"":[""dört mevsim""],""kullanim"":[""ofis"",""özel gün""],""ozellik"":[""deri"",""şık"",""klasik""],""ortam"":[""ofis"",""şehir""]}",3499
Kadın Topuklu Ayakkabı,Özel davetler ve özel günler için şık yüksek topuklu kadın ayakkabısı.,Ayakkabı,Klasik Ayakkabı,Kadın,Topuklu Ayakkabı,"topuklu,şık,özel gün","kadın,topuklu,şık,özel gün,davet","{""mevsim"":[""dört mevsim""],""kullanim"":[""özel gün"",""davet""],""ozellik"":[""topuklu"",""şık"",""zarif""],""ortam"":[""davet""]}",2799
Kadın Babet Ayakkabı,Günlük ve ofis kullanımı için rahat düz tabanlı kadın babet ayakkabı.,Ayakkabı,Klasik Ayakkabı,Kadın,Babet,"düz taban,rahat,günlük","kadın,babet,rahat,günlük,ofis","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""günlük"",""ofis""],""ozellik"":[""düz taban"",""rahat"",""hafif""],""ortam"":[""şehir"",""ofis""]}",1299
Çocuk Spor Ayakkabı,Aktif çocuklar için dayanıklı ve hafif çocuk spor ayakkabısı.,Ayakkabı,Spor Ayakkabı,Çocuk,Çocuk Spor Ayakkabı,"hafif,dayanıklı,rahat","çocuk,spor,ayakkabı,okul,aktif","{""mevsim"":[""dört mevsim""],""kullanim"":[""spor"",""okul"",""günlük""],""ozellik"":[""hafif"",""dayanıklı"",""rahat""],""ortam"":[""okul"",""spor""]}",899
Çocuk Kışlık Bot,Kış mevsiminde çocukların ayaklarını sıcak tutan suya dayanıklı çocuk botu.,Ayakkabı,Bot,Çocuk,Çocuk Bot,"sıcak,su dayanıklı,çocuk","çocuk,bot,kış,sıcak,kar","{""mevsim"":[""kış""],""kullanim"":[""günlük"",""dış mekan""],""ozellik"":[""sıcak tutan"",""su dayanıklı"",""rahat""],""ortam"":[""kar"",""soğuk hava""]}",1199
Bebek Yumuşak Tabanlı Ayakkabı,Bebeklerin ilk adımlarında destek sağlayan yumuşak tabanlı bebek ayakkabısı.,Ayakkabı,Klasik Ayakkabı,Bebek,Bebek Ayakkabısı,"yumuşak,hafif,bebek","bebek,ayakkabı,yumuşak,ilk adım,yürüme","{""kullanim"":[""yürüme"",""günlük""],""ozellik"":[""yumuşak taban"",""hafif"",""bebek dostu""],""hedef"":[""bebek"",""ilk adım""]}",549
Koşu Ayakkabısı Hafif,Günlük koşu antrenmanları için amortisörlü hafif koşu ayakkabısı.,Ayakkabı,Spor Ayakkabı,Unisex,Koşu Ayakkabısı,"amortisörlü,hafif,koşu","koşu,spor,hafif,antrenman,maraton","{""mevsim"":[""dört mevsim""],""kullanim"":[""koşu"",""spor""],""ortam"":[""yol"",""parkur""],""ozellik"":[""amortisörlü"",""hafif"",""nefes alabilir""]}",2199
Maraton Koşu Ayakkabısı,Uzun mesafe koşular için özel tasarlanmış karbon tabanlı maraton ayakkabısı.,Ayakkabı,Spor Ayakkabı,Unisex,Maraton Ayakkabısı,"karbon taban,hız,maraton","maraton,koşu,hız,profesyonel,uzun mesafe","{""kullanim"":[""maraton"",""koşu""],""ozellik"":[""karbon taban"",""hızlı"",""profesyonel""],""ortam"":[""yol""]}",3999
Kadın Çiçekli Elbise,"Çiçek baskılı şık yaz elbisesi, günlük ve davetler için uygun.",Giyim,Elbise,Kadın,Yazlık Elbise,"çiçekli,şık,rahat","kadın,elbise,çiçekli,yaz,şık","{""mevsim"":[""yaz""],""kullanim"":[""günlük"",""davet""],""stil"":[""şık""],""ozellik"":[""çiçekli"",""hafif"",""şık""]}",1499
Kadın Maxi Elbise,"Uzun kesimli rahat maxi elbise, plaj ve yaz günleri için ideal.",Giyim,Elbise,Kadın,Maxi Elbise,"uzun,rahat,yazlık","kadın,maxi,elbise,yaz,plaj","{""mevsim"":[""yaz""],""kullanim"":[""günlük"",""plaj""],""stil"":[""boho""],""ozellik"":[""uzun"",""rahat"",""salaş""]}",1699
Kadın Mini Elbise,"Şık mini elbise, sosyal etkinlikler ve çıkışlar için uygun.",Giyim,Elbise,Kadın,Mini Elbise,"şık,kısa,eğlenceli","kadın,mini,elbise,şık,gece","{""mevsim"":[""yaz"",""ilkbahar""],""kullanim"":[""gece"",""özel gün""],""stil"":[""şık"",""modern""],""ozellik"":[""kısa"",""şık""]}",1899
Kadın Kışlık Triko Elbise,Kış mevsiminde sıcak tutan triko örme kadın elbisesi.,Giyim,Elbise,Kadın,Triko Elbise,"triko,sıcak,kışlık","kadın,triko,elbise,kış,sıcak","{""mevsim"":[""kış""],""kullanim"":[""günlük""],""stil"":[""rahat""],""ozellik"":[""triko"",""sıcak tutan"",""kışlık""]}",1599
Erkek Keten Gömlek,Yaz aylarında serinletici keten kumaşlı erkek günlük gömlek.,Giyim,Gömlek,Erkek,Keten Gömlek,"keten,nefes alabilir,yazlık","erkek,keten,gömlek,yaz,serin","{""mevsim"":[""yaz""],""kullanim"":[""günlük""],""ozellik"":[""keten"",""nefes alabilir"",""yazlık""],""stil"":[""rahat""]}",1199
Erkek Oxford Gömlek,Günlük ve yarı resmi kullanıma uygun erkek oxford gömlek.,Giyim,Gömlek,Erkek,Oxford Gömlek,"ince kumaş,hafif,şık","erkek,oxford,gömlek,yarı resmi,ofis","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""ofis"",""günlük""],""ozellik"":[""ince kumaş"",""şık"",""rahat""],""stil"":[""yarı resmi""]}",1299
Kadın Gömlek Bluz,Çok yönlü kullanımlara uygun şık kadın gömlek bluz modeli.,Giyim,Gömlek,Kadın,Bluz,"şık,hafif,günlük","kadın,gömlek,bluz,ofis,günlük","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""günlük"",""ofis""],""ozellik"":[""şık"",""hafif"",""rahat""],""stil"":[""şık""]}",999
Erkek Flannel Gömlek,Sonbahar ve kış için sıcak tutan ekoseli flannel erkek gömlek.,Giyim,Gömlek,Erkek,Flannel Gömlek,"sıcak,flannel,ekoseli","erkek,flannel,gömlek,sonbahar,kış","{""mevsim"":[""sonbahar"",""kış""],""kullanim"":[""günlük""],""ozellik"":[""sıcak"",""flannel"",""ekoseli""],""stil"":[""rahat"",""outdoor""]}",1099
Erkek Slim Fit Pantolon,Ofis ve günlük kullanım için modern kesimli erkek slim fit pantolon.,Giyim,Pantolon,Erkek,Slim Fit Pantolon,"slim fit,şık,rahat","erkek,pantolon,slim,ofis,şık","{""mevsim"":[""dört mevsim""],""kullanim"":[""ofis"",""günlük""],""ozellik"":[""slim fit"",""şık"",""rahat""],""stil"":[""modern""]}",1299
Erkek Kargo Pantolon,"Geniş cepli dayanıklı erkek kargo pantolon, outdoor kullanım için ideal.",Giyim,Pantolon,Erkek,Kargo Pantolon,"geniş cep,dayanıklı,outdoor","erkek,kargo,pantolon,outdoor,geniş cep","{""mevsim"":[""dört mevsim""],""kullanim"":[""outdoor"",""günlük""],""ozellik"":[""geniş cep"",""dayanıklı"",""rahat""],""stil"":[""outdoor""]}",1199
Kadın Yüksek Bel Pantolon,Şık yüksek bel kesimli kadın günlük kullanım pantolonu.,Giyim,Pantolon,Kadın,Yüksek Bel Pantolon,"yüksek bel,şık,günlük","kadın,pantolon,yüksek bel,şık,günlük","{""mevsim"":[""dört mevsim""],""kullanim"":[""günlük"",""ofis""],""ozellik"":[""yüksek bel"",""şık"",""rahat""],""stil"":[""modern""]}",1399
Kadın Geniş Paça Pantolon,"Trend geniş paça kadın pantolonu, ofis ve günlük kombinler için.",Giyim,Pantolon,Kadın,Geniş Paça Pantolon,"geniş paça,trend,şık","kadın,geniş paça,pantolon,trend,şık","{""mevsim"":[""dört mevsim""],""kullanim"":[""günlük"",""ofis""],""ozellik"":[""geniş paça"",""trend"",""şık""],""stil"":[""modern""]}",1599
Unisex Eşofman Altı,Spor ve ev içi kullanım için yumuşak dokulu eşofman altı.,Giyim,Eşofman,Unisex,Eşofman Altı,"yumuşak,rahat,spor","eşofman,spor,rahat,ev,yumuşak","{""mevsim"":[""dört mevsim""],""kullanim"":[""spor"",""ev"",""rahat""],""ozellik"":[""yumuşak"",""rahat"",""elastik""],""stil"":[""spor""]}",699
Erkek Düz Tişört,Günlük kullanım için sade ve rahat erkek tişört modeli.,Giyim,Tişört,Erkek,Tişört,"sade,rahat,nefes alabilir","erkek,tişört,günlük,sade,rahat","{""mevsim"":[""yaz""],""kullanim"":[""günlük""],""ozellik"":[""sade"",""rahat"",""nefes alabilir""],""stil"":[""minimal""]}",349
Erkek Oversize Tişört,"Trend oversize kesimli erkek tişört, rahat ve günlük kullanıma uygun.",Giyim,Tişört,Erkek,Oversize Tişört,"oversize,trend,rahat","erkek,oversize,tişört,trend,rahat","{""mevsim"":[""yaz""],""kullanim"":[""günlük""],""ozellik"":[""oversize"",""trend"",""rahat""],""stil"":[""streetwear""]}",499
Kadın Yazlık Tişört,"Yazlık hafif kumaşlı, günlük kullanım için kadın tişört.",Giyim,Tişört,Kadın,Tişört,"hafif,yazlık,rahat","kadın,tişört,yaz,hafif,günlük","{""mevsim"":[""yaz""],""kullanim"":[""günlük""],""ozellik"":[""hafif"",""yazlık"",""rahat""],""stil"":[""rahat""]}",399
